,address,categories,city,country,latitude,longitude,name,postalCode,state
3137,1133 E 600th Ave,Fast Food Restaurants,Pittsburg,US,37.483292,-94.643567,Chicken Mary's,66762,Kansas
3138,2329 N Monroe St,American Restaurant and Fast Food Restaurant,Tallahassee,US,30.471606,-84.29063,Boston Market,32303,Florida
3139,1312 Murfreesboro Rd,Fast Food Restaurants,Franklin,US,35.91428,-86.826808,Steak N Shake,37064,Tennessee
3140,2101 Willis Rd,Fast Food Restaurant,Richmond,US,37.401788,-77.422582,Waffle House,23237,Virginia
3141,4520 Yadkin Rd,Fast Food Restaurant,Fayetteville,US,35.079984,-78.958051,Waffle House,28303,North Carolina
3142,120 Western Blvd,Fast Food Restaurant,Tarboro,US,35.888626,-77.54797,Waffle House,27886,North Carolina
3143,2701 Dakota Ave,Fast Food Restaurant,South Sioux City,US,42.464481,-96.414012,Taco John's,68776,Nebraska
3144,603 E Okmulgee St,Fast Food Restaurants,Muskogee,US,35.7451,-95.3624,Domino's Pizza,74403,Oklahoma
3145,4628 S Pennsylvania Ave,Fast Food Restaurants,Oklahoma City,US,35.4186,-97.5478,Domino's Pizza,73119,Oklahoma
3146,4843 Se 44th St,Fast Food Restaurants,Oklahoma City,US,35.4208,-97.4314,Domino's Pizza,73135,Oklahoma
3147,4233 Aldine Mail Rd,Fast Food,Houston,US,29.9026,-95.3316,Domino's Pizza,77039,Texas
3148,4558 Highway 6 N,Fast Food,Houston,US,29.839928,-95.64569,Domino's Pizza,77084,Texas
3149,3659 Nasa Pkwy,Fast Food Restaurants,Seabrook,US,29.564308,-95.0468,Domino's Pizza,77586,Texas
3150,3445 W Memorial Rd,Fast Food Restaurants,Oklahoma City,US,35.6101,-97.5798,Domino's Pizza,73134,Oklahoma
3151,316 S Business Ih 35,Fast Food Restaurants,New Braunfels,US,29.693064,-98.11711,Domino's Pizza,78130,Texas
3152,801 S 13th St,Fast Food Restaurants,Norfolk,US,42.024357,-97.426519,Taco John's,68701,Nebraska
3153,410 Dakota Ave N,Fast Food Restaurant,Huron,US,44.371035,-98.214141,Taco John's,57350,South Dakota
